custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,5/26/2015 0:00,Male,61,Black,19144
,,,,,
State,4/23/2015 0:00,Male,60,Black,19146
,,,,,
State,9/12/2015 0:00,Male,60,Black,19146
,,,,,
State,4/6/2015 0:00,Male,59,Black,19121
,,,,,
PDP,2/18/2015 0:00,Female,60,Black,19121
,,,,,
PDP,3/19/2015 0:00,Male,61,White,19147
,,,,,
PDP,7/12/2015 0:00,Male,79,Black,19132
,,,,,
PDP,4/7/2015 0:00,Male,60,White,19130
,,,,,
PDP,5/14/2015 0:00,Male,61,Black,19132
,,,,,
State,3/2/2015 0:00,Male,58,Black,19125
,,,,,
PDP,5/13/2015 0:00,Male,60,Black,19142
,,,,,
State,8/20/2015 0:00,Male,60,Black,19147
,,,,,
PDP,2/13/2015 0:00,Male,60,Black,19150
,,,,,
PDP,6/1/2015 0:00,Male,61,Black,19139
,,,,,
PDP,1/22/2015 0:00,Male,57,Black,
,,,,,
PDP,2/13/2015 0:00,Male,59,Black,19144
,,,,,
PDP,4/22/2015 0:00,Male,60,White,19145
,,,,,
State,6/4/2015 0:00,Male,60,White,19134
,,,,,
PDP,11/23/2015 0:00,Male,60,Black,
,,,,,
PDP,1/28/2015 0:00,Male,59,Black,19140
,,,,,
PDP,4/7/2015 0:00,Male,60,White,19136
,,,,,
PDP,4/16/2015 0:00,Male,59,Black,19139
,,,,,
State,5/23/2015 0:00,Male,65,White,19104
,,,,,
PDP,6/2/2015 0:00,Male,64,Black,
,,,,,
State,4/16/2015 0:00,Male,59,Black,19121
,,,,,
State,12/14/2015 0:00,Male,56,Black,19123
,,,,,
PDP,3/17/2015 0:00,Male,59,Black,19140
,,,,,
PDP,6/30/2015 0:00,Male,58,Black,19143
,,,,,
State,4/6/2015 0:00,Male,61,Black,19139
,,,,,
PDP,3/9/2015 0:00,Male,59,Black,19140
,,,,,
PDP,3/31/2015 0:00,Male,58,Black,19143
,,,,,
State,2/17/2015 0:00,Male,59,Black,19121
,,,,,
PDP,12/30/2015 0:00,Male,62,Black,19143
,,,,,
PDP,12/15/2015 0:00,Male,60,Black,19139
,,,,,
PDP,2/18/2015 0:00,Female,59,Black,19140
,,,,,
PDP,12/14/2015 0:00,Male,64,Black,19150
,,,,,
PDP,7/6/2015 0:00,Male,59,Black,
,,,,,
PDP,6/3/2015 0:00,Male,57,Black,
,,,,,
PDP,3/16/2015 0:00,Male,59,Black,
,,,,,
PDP,1/6/2015 0:00,Male,59,Black,19130
,,,,,
PDP,7/21/2015 0:00,Male,61,Black,19133
,,,,,
PDP,8/11/2015 0:00,Male,62,Black,
,,,,,
PDP,5/26/2015 0:00,Male,59,White,19120
,,,,,
PDP,6/1/2015 0:00,Male,57,Black,
,,,,,
State,4/6/2015 0:00,Male,59,Black,19121
,,,,,
PDP,6/28/2015 0:00,Male,70,Black,19139
,,,,,
PDP,7/24/2015 0:00,Female,62,Black,
,,,,,
PDP,4/19/2015 0:00,Male,58,Black,19150
,,,,,
PDP,4/12/2015 0:00,Male,59,Black,19121
,,,,,
PDP,2/6/2015 0:00,Male,57,Black,19131
,,,,,
State,6/1/2015 0:00,Male,59,Black,19132
,,,,,
PDP,10/14/2015 0:00,Male,59,Black,
,,,,,
PDP,7/27/2015 0:00,Female,57,Black,19145
,,,,,
PDP,11/10/2015 0:00,Female,61,Black,19140
,,,,,
State,5/18/2015 0:00,Male,58,Black,19128
,,,,,
PDP,1/26/2015 0:00,Male,57,Black,
,,,,,
State,1/8/2015 0:00,Male,60,Black,19139
,,,,,
State,5/11/2015 0:00,Male,59,Black,19129
,,,,,
State,4/20/2015 0:00,Male,59,Black,19133
,,,,,
PDP,2/25/2015 0:00,Male,59,Black,19144
,,,,,
State,9/27/2015 0:00,Male,59,Black,19144
,,,,,
PDP,5/7/2015 0:00,Male,60,Black,
,,,,,
PDP,9/21/2015 0:00,Male,61,Hispanic,19123
,,,,,
State,2/23/2015 0:00,Male,59,White,19121
,,,,,
PDP,6/23/2015 0:00,Male,60,Black,19121
,,,,,
State,7/5/2015 0:00,Male,58,White,19134
,,,,,
State,10/5/2015 0:00,Male,60,White,19116
,,,,,
PDP,5/5/2015 0:00,Male,66,Black,19140
,,,,,
PDP,4/10/2015 0:00,Male,59,Black,19120
,,,,,
State,11/19/2015 0:00,Male,59,Black,19138
,,,,,
PDP,8/6/2015 0:00,Male,61,Black,19116
,,,,,
PDP,10/30/2015 0:00,Male,70,Black,19104
,,,,,
PDP,6/16/2015 0:00,Male,59,Black,19132
,,,,,
PDP,12/21/2015 0:00,Male,59,Black,19121
,,,,,
State,3/12/2015 0:00,Male,58,Black,19144
,,,,,
PDP,11/5/2015 0:00,Male,62,Black,19148
,,,,,
PDP,4/20/2015 0:00,Male,66,Black,
,,,,,
State,9/7/2015 0:00,Male,60,Black,19119
,,,,,
PDP,3/27/2015 0:00,Male,59,Black,19124
,,,,,
PDP,4/7/2015 0:00,Male,57,Black,
,,,,,
State,11/12/2015 0:00,Male,57,Black,19121
,,,,,
PDP,3/17/2015 0:00,Male,59,Black,
,,,,,
State,11/19/2015 0:00,Male,60,Black,19122
,,,,,
PDP,4/21/2015 0:00,Male,58,Black,
,,,,,
State,9/30/2015 0:00,Male,62,Black,19143
,,,,,
State,2/18/2015 0:00,Male,57,Black,19140
,,,,,
PDP,3/16/2015 0:00,Male,57,White,19146
,,,,,
PDP,10/13/2015 0:00,Male,60,White,19124
,,,,,
State,7/23/2015 0:00,Male,57,Black,19120
,,,,,
State,7/6/2015 0:00,Male,64,Black,19129
,,,,,
PDP,5/29/2015 0:00,Male,59,Black,19138
,,,,,
PDP,11/16/2015 0:00,Male,60,Black,19140
,,,,,
PDP,10/23/2015 0:00,Male,61,Other,
,,,,,
PDP,3/23/2015 0:00,Male,58,Black,19146
,,,,,
PDP,8/7/2015 0:00,Male,60,White,
,,,,,
State,11/25/2015 0:00,Male,58,Hispanic,19144
,,,,,
PDP,2/25/2015 0:00,Male,58,White,19136
,,,,,
PDP,10/27/2015 0:00,Female,56,White,19134
,,,,,
PDP,4/20/2015 0:00,Male,60,Black,19134
,,,,,
PDP,10/8/2015 0:00,Male,62,Black,
,,,,,
PDP,3/24/2015 0:00,Female,62,Black,19132
,,,,,
PDP,10/8/2015 0:00,Male,71,Black,19111
,,,,,
PDP,2/11/2015 0:00,Male,57,Black,
,,,,,
State,6/29/2015 0:00,Male,57,Black,19134
,,,,,
PDP,5/20/2015 0:00,Male,58,Black,19120
,,,,,
PDP,12/1/2015 0:00,Male,59,Black,
,,,,,
State,4/13/2015 0:00,Male,61,Black,19124
,,,,,
PDP,1/13/2015 0:00,Male,58,Black,19121
,,,,,
PDP,12/22/2015 0:00,Male,59,Black,
,,,,,
PDP,3/4/2015 0:00,Male,59,Black,
,,,,,
PDP,3/11/2015 0:00,Male,59,Black,19143
,,,,,
PDP,8/19/2015 0:00,Male,58,Black,19133
,,,,,
State,12/7/2015 0:00,Male,69,Black,19132
,,,,,
PDP,12/10/2015 0:00,Male,80,Hispanic,19133
,,,,,
State,6/18/2015 0:00,Male,58,White,19120
,,,,,
PDP,5/13/2015 0:00,Male,58,Black,
,,,,,
PDP,4/10/2015 0:00,Male,59,Black,19139
,,,,,
PDP,9/30/2015 0:00,Male,59,Black,19146
,,,,,
PDP,11/18/2015 0:00,Male,58,Black,
,,,,,
PDP,10/13/2015 0:00,Male,59,Black,19131
,,,,,
State,6/23/2015 0:00,Male,59,Hispanic,19124
,,,,,
PDP,12/11/2015 0:00,Male,59,Black,19120
,,,,,
PDP,2/12/2015 0:00,Male,57,Black,
,,,,,
PDP,6/23/2015 0:00,Male,65,Black,
,,,,,
PDP,2/17/2015 0:00,Male,63,Black,19125
,,,,,
State,9/14/2015 0:00,Male,59,Black,19121
,,,,,
PDP,3/12/2015 0:00,Male,60,Black,
,,,,,
PDP,4/29/2015 0:00,Male,58,Black,19138
,,,,,
PDP,1/1/2015 0:00,Male,59,Black,19140
,,,,,
State,2/23/2015 0:00,Male,58,Black,19133
,,,,,
PDP,12/7/2015 0:00,Male,59,Black,
,,,,,
State,2/9/2015 0:00,Male,58,Black,19146
,,,,,
State,10/11/2015 0:00,Male,61,Black,19124
,,,,,
PDP,12/7/2015 0:00,Male,61,Black,19144
,,,,,
PDP,9/9/2015 0:00,Male,58,White,
,,,,,
PDP,11/12/2015 0:00,Male,58,Black,19143
,,,,,
PDP,12/4/2015 0:00,Male,59,Black,19120
,,,,,
State,3/17/2015 0:00,Male,58,Black,19123
,,,,,
State,3/17/2015 0:00,Male,58,Black,19123
,,,,,
PDP,12/5/2015 0:00,Male,59,White,
,,,,,
PDP,9/30/2015 0:00,Male,57,Black,19143
,,,,,
PDP,3/3/2015 0:00,Male,60,White,19134
,,,,,
PDP,9/21/2015 0:00,Male,64,Black,19144
,,,,,
PDP,4/15/2015 0:00,Male,59,Black,19143
,,,,,
PDP,3/17/2015 0:00,Male,60,Black,19139
,,,,,
PDP,2/12/2015 0:00,Male,61,Black,19132
,,,,,
PDP,3/22/2015 0:00,Female,65,Black,19145
,,,,,
PDP,6/17/2015 0:00,Female,58,White,19137
,,,,,
PDP,1/30/2015 0:00,Male,59,Black,
,,,,,
State,1/4/2015 0:00,Male,58,White,19116
,,,,,
PDP,2/3/2015 0:00,Male,57,Black,
,,,,,
PDP,6/4/2015 0:00,Male,58,Black,
,,,,,
State,11/19/2015 0:00,Male,61,White,19137
,,,,,
State,9/21/2015 0:00,Male,63,Black,19138
,,,,,
State,3/4/2015 0:00,Male,59,White,19151
,,,,,
PDP,3/17/2015 0:00,Male,57,Black,19170
,,,,,
PDP,1/22/2015 0:00,Male,58,White,19134
,,,,,
PDP,4/14/2015 0:00,Male,57,Black,19143
,,,,,
PDP,12/22/2015 0:00,Male,59,Black,
,,,,,
